time	V(vout)	V(n001)	V(n012)	V(n013)
0.000000000000000e+000	3.995959e+000	1.000000e-001	1.000000e-001	3.681750e+000
4.464285766455794e-010	3.995959e+000	9.999107e-002	9.999554e-002	3.681750e+000
8.928571532911587e-010	3.995959e+000	9.998214e-002	9.999107e-002	3.681750e+000
1.339285729936738e-009	3.995959e+000	9.997321e-002	9.998661e-002	3.681750e+000
1.785714306582317e-009	3.995959e+000	9.996428e-002	9.998215e-002	3.681750e+000
2.232142883227897e-009	3.995959e+000	9.995535e-002	9.997768e-002	3.681750e+000
2.678571459873476e-009	3.995959e+000	9.994643e-002	9.997321e-002	3.681750e+000
3.125000036519054e-009	3.995959e+000	9.993750e-002	9.996875e-002	3.681750e+000
6.250000073038109e-009	3.995959e+000	9.987500e-002	9.993750e-002	3.681750e+000
1.250000014607622e-008	3.995959e+000	9.975000e-002	9.987500e-002	3.681754e+000
2.500000029215244e-008	3.995959e+000	9.950000e-002	9.975000e-002	3.681785e+000
5.000000058430487e-008	3.995959e+000	9.900000e-002	9.950000e-002	3.681944e+000
1.000000011686097e-007	3.995959e+000	9.800000e-002	9.900000e-002	3.682556e+000
1.638956376496941e-007	3.995959e+000	9.672209e-002	9.836105e-002	3.683916e+000
2.557141270547679e-007	3.995959e+000	9.488571e-002	9.744286e-002	3.687290e+000
4.074599160748253e-007	3.995959e+000	9.185080e-002	9.592540e-002	3.696152e+000
5.663925563159709e-007	3.995959e+000	8.867215e-002	9.433608e-002	3.710910e+000
8.842578367982621e-007	3.995959e+000	8.231484e-002	9.115742e-002	3.751418e+000
1.000000000000000e-006	3.995959e+000	8.000000e-002	9.000000e-002	3.768995e+000
1.022801238642112e-006	3.995959e+000	7.954398e-002	8.977199e-002	3.772645e+000
1.068403715926335e-006	3.995959e+000	7.863192e-002	8.931597e-002	3.779351e+000
1.159608670494782e-006	3.995959e+000	7.680783e-002	8.840391e-002	3.789859e+000
1.342018579631676e-006	3.995959e+000	7.315963e-002	8.657981e-002	3.801618e+000
1.706838397905464e-006	3.995959e+000	6.586323e-002	8.293162e-002	3.808206e+000
2.000000000000000e-006	3.995959e+000	6.000000e-002	8.000000e-002	3.805957e+000
2.058313641776305e-006	3.995959e+000	5.883373e-002	7.941686e-002	3.804847e+000
2.174940925328915e-006	3.995959e+000	5.650118e-002	7.825059e-002	3.802590e+000
2.408195492434136e-006	3.995959e+000	5.183609e-002	7.591805e-002	3.797668e+000
2.874704626644578e-006	3.995959e+000	4.250591e-002	7.125296e-002	3.786647e+000
3.000000000000000e-006	3.995959e+000	4.000000e-002	7.000000e-002	3.783345e+000
3.093301826842088e-006	3.995959e+000	3.813396e-002	6.906698e-002	3.780214e+000
3.279905480526265e-006	3.995959e+000	3.440189e-002	6.720094e-002	3.772391e+000
3.653112787894618e-006	3.995959e+000	2.693774e-002	6.346887e-002	3.750458e+000
4.000000000000000e-006	3.995959e+000	2.000000e-002	6.000000e-002	3.724074e+000
4.074641461473670e-006	3.995959e+000	1.850717e-002	5.925358e-002	3.716216e+000
4.223924384421012e-006	3.995959e+000	1.552151e-002	5.776076e-002	3.699275e+000
4.522490230315694e-006	3.995959e+000	9.550195e-003	5.477510e-002	3.660315e+000
5.000000000000000e-006	3.995959e+000	0.000000e+000	5.000000e-002	3.590529e+000
5.059713169178936e-006	3.995959e+000	-1.194263e-003	4.940287e-002	3.580309e+000
5.179139507536809e-006	3.995959e+000	-3.582790e-003	4.820861e-002	3.559259e+000
5.417992184252556e-006	3.995959e+000	-8.359844e-003	4.582008e-002	3.514311e+000
5.895697537684048e-006	3.995959e+000	-1.791395e-002	4.104302e-002	3.418491e+000
5.999999999999999e-006	3.995959e+000	-2.000000e-002	4.000000e-002	3.396482e+000
6.095541070686298e-006	3.995959e+000	-2.191082e-002	3.904459e-002	3.374968e+000
6.286623212058895e-006	3.995959e+000	-2.573247e-002	3.713377e-002	3.330768e+000
6.668787494804089e-006	3.995959e+000	-3.337575e-002	3.331212e-002	3.238553e+000
7.000000000000000e-006	3.995959e+000	-4.000000e-002	3.000000e-002	3.155645e+000
7.076432856549039e-006	3.995959e+000	-4.152866e-002	2.923567e-002	3.135482e+000
7.229298569647116e-006	3.995959e+000	-4.458597e-002	2.770701e-002	3.094571e+000
7.535029995843271e-006	3.995959e+000	-5.070060e-002	2.464970e-002	3.010376e+000
8.000000000000000e-006	3.995959e+000	-6.000000e-002	2.000000e-002	2.879014e+000
8.061146285239230e-006	3.995959e+000	-6.122293e-002	1.938854e-002	2.861049e+000
8.183438855717692e-006	3.995959e+000	-6.366878e-002	1.816561e-002	2.824826e+000
8.428023996674617e-006	3.995959e+000	-6.856048e-002	1.571976e-002	2.751029e+000
8.917194278588466e-006	3.995959e+000	-7.834388e-002	1.082806e-002	2.600693e+000
9.000000000000000e-006	3.995959e+000	-8.000000e-002	1.000000e-002	2.574857e+000
9.096054452577065e-006	3.995959e+000	-8.192109e-002	9.039455e-003	2.544286e+000
9.288163357731193e-006	3.995959e+000	-8.576327e-002	7.118366e-003	2.482661e+000
9.615782189691744e-006	3.995959e+000	-9.231564e-002	3.842178e-003	2.376097e+000
9.999999999999999e-006	3.995959e+000	-1.000000e-001	0.000000e+000	2.249568e+000
1.003842178103083e-005	3.995959e+000	-1.000000e-001	-3.842178e-004	2.236727e+000
1.011526534309248e-005	3.995959e+000	-1.000000e-001	-1.152653e-003	2.211092e+000
1.025535829612219e-005	3.995959e+000	-1.000000e-001	-2.553583e-003	2.164581e+000
1.038515885701553e-005	3.995959e+000	-1.000000e-001	-3.851589e-003	2.121871e+000
1.052416122464205e-005	3.995959e+000	-1.000000e-001	-5.241612e-003	2.076819e+000
1.080216595989509e-005	3.995959e+000	-1.000000e-001	-8.021659e-003	1.988251e+000
1.100000000000000e-005	3.995959e+000	-1.000000e-001	-1.000000e-002	1.926108e+000
